Epoch,Train Loss,Validation Loss
1,0.3626108434465196,0.2507607787847519
2,0.3597048752837711,0.25603552907705307
3,0.3566451668739319,0.2624276727437973
4,0.35393619537353516,0.2678555101156235
5,0.35078940126631,0.2724214643239975
6,0.3479986853069729,0.2783934623003006
7,0.3448101215892368,0.28609512746334076
8,0.34183891283141243,0.29416103661060333
9,0.3389640516704983,0.2997375726699829
10,0.3359915382332272,0.3017555922269821
11,0.33235910203721786,0.3015383780002594
12,0.32941065894232857,0.30036261677742004
13,0.32600592573483783,0.2985871434211731
14,0.3228352665901184,0.2967519462108612
15,0.3196980920102861,0.2948920726776123
16,0.315817654132843,0.29222941398620605
17,0.31291164623366463,0.29032084345817566
18,0.30963515904214645,0.2883508950471878
19,0.3064342439174652,0.28602468967437744
20,0.3032919334040748,0.2838112562894821
21,0.30020391278796726,0.28175604343414307
22,0.297307292620341,0.2797611355781555
23,0.29478420813878375,0.277757853269577
24,0.291964140203264,0.2758137583732605
25,0.2897817658053504,0.27396437525749207
26,0.2872154712677002,0.27218663692474365
27,0.28494829270574784,0.2703482359647751
28,0.28262001276016235,0.26841215789318085
29,0.2805729839536879,0.26689717173576355
30,0.2789820333321889,0.2653873860836029
31,0.2768276068899367,0.26358655095100403
32,0.2751423584090339,0.2620815187692642
33,0.27346469627486336,0.2607991397380829
34,0.2715396285057068,0.25948621332645416
35,0.26973918411466813,0.2576558142900467
36,0.2685284349653456,0.2566052973270416
37,0.2667248613304562,0.25527966022491455
38,0.2652563552061717,0.2537092790007591
39,0.2638095286157396,0.2525141313672066
40,0.2624918387995826,0.251321405172348
41,0.261276513338089,0.25024887919425964
42,0.2598363492223952,0.24918344616889954
43,0.25868552592065597,0.24820265173912048
44,0.25732262267006767,0.24688425660133362
45,0.2563496232032776,0.2460942268371582
46,0.25525496072239345,0.2451237067580223
47,0.253945991396904,0.24416755139827728
48,0.2528947989145915,0.24328915029764175
49,0.2516878843307495,0.24219214171171188
50,0.2509758571783702,0.24165423959493637
51,0.249851170513365,0.24062535911798477
52,0.24870905611250135,0.23954108357429504
53,0.24789602392249638,0.23891660571098328
54,0.24681202073891959,0.23792705684900284
55,0.24596932364834678,0.2367519736289978
56,0.2449633843368954,0.23611702769994736
57,0.24394440154234567,0.23502705246210098
58,0.2431024213631948,0.2342790588736534
59,0.24219403829839495,0.23354314267635345
60,0.24140982826550803,0.23297230154275894
61,0.24044246474901834,0.23225156962871552
62,0.23966934614711338,0.23135095089673996
63,0.2388490703370836,0.23051730543375015
64,0.2378450483083725,0.2296588122844696
65,0.23709123830000559,0.22887317091226578
66,0.23618225422170427,0.22813483327627182
67,0.2353248099486033,0.22735971957445145
68,0.23444522751702201,0.2266395390033722
69,0.23353701829910278,0.22568266093730927
70,0.23275639613469443,0.22473415732383728
71,0.23183614512284598,0.2239750623703003
72,0.2308699372741911,0.22312691807746887
73,0.22998465432061088,0.22219781577587128
74,0.2292275610897276,0.22138197720050812
75,0.2283392979039086,0.22058606892824173
76,0.22743651767571768,0.2198413908481598
77,0.22653810017638737,0.21910608559846878
78,0.2255425883664025,0.21807486563920975
79,0.22465534342659843,0.21714863926172256
80,0.2238579491774241,0.21646245568990707
81,0.22290846208731332,0.2154303938150406
82,0.22192989786465964,0.2144700288772583
83,0.2208919492032793,0.21353031694889069
84,0.2200158867571089,0.21243567764759064
85,0.21901264786720276,0.2114875614643097
86,0.2180893917878469,0.21063841879367828
87,0.2170896993743049,0.20967787504196167
88,0.21624525553650326,0.2088957577943802
89,0.21524323523044586,0.20805268734693527
90,0.2142495115598043,0.20709411799907684
91,0.21306627160973018,0.206003800034523
92,0.21214348243342507,0.20487674325704575
93,0.2112634778022766,0.2039886862039566
94,0.2102485497792562,0.20302395522594452
95,0.2092741678158442,0.20194147527217865
96,0.20815806256400216,0.20081038773059845
97,0.20726197957992554,0.19984935224056244
98,0.20615831017494202,0.19892743229866028
99,0.2051836219098833,0.1978340893983841
100,0.2042587250471115,0.1967744082212448
101,0.20323026676972708,0.1958092525601387
102,0.20222044156657326,0.1948022022843361
103,0.20129397677050698,0.19378529489040375
104,0.20037167270978293,0.1928267851471901
105,0.19936804473400116,0.1919134333729744
106,0.19855323433876038,0.19095487892627716
107,0.19757460388872358,0.19004887342453003
108,0.19668248626920912,0.1892182007431984
109,0.19582776559723747,0.18824326992034912
110,0.19494838184780544,0.1873897835612297
111,0.19417168200016022,0.1866035759449005
112,0.1933153900835249,0.18582399934530258
113,0.19245839615662894,0.1849375143647194
114,0.19165381623639,0.18411895632743835
115,0.19084759884410435,0.18338455259799957
116,0.19009553723865086,0.1825702264904976
117,0.1893770479493671,0.18179331719875336
118,0.1886094113190969,0.18101917952299118
119,0.18785152667098576,0.180247500538826
120,0.18717776073349846,0.1795555055141449
121,0.18644786212179396,0.17885011434555054
122,0.18587911128997803,0.17822590470314026
123,0.18515852755970424,0.1775892823934555
124,0.18449408478207058,0.17692933976650238
125,0.18388494683636558,0.1762678250670433
126,0.1832356701294581,0.1756346970796585
127,0.1826487100786633,0.17501885443925858
128,0.1820822623040941,0.1744278222322464
129,0.18141964077949524,0.17388363927602768
130,0.18092164231671226,0.17329857498407364
131,0.18034670253594717,0.17275883257389069
132,0.17987174789110819,0.17227647453546524
133,0.17941133677959442,0.17177775502204895
134,0.17890281975269318,0.17124465107917786
135,0.17831691768434313,0.17069615423679352
136,0.17780226137903002,0.17023079097270966
137,0.17737642096148598,0.16976939141750336
138,0.17693341771761575,0.1693364605307579
139,0.1764962358607186,0.16885335743427277
140,0.17599271734555563,0.16839642822742462
141,0.17560834851529863,0.16790181398391724
142,0.17510872417026097,0.16750504821538925
143,0.17479000985622406,0.16706548631191254
144,0.1744261665476693,0.16664677113294601
145,0.17406338784429762,0.16620418429374695
146,0.17366795076264274,0.16580555588006973
147,0.1732802622848087,0.1654258668422699
148,0.17283143434259626,0.1650371178984642
149,0.1724851131439209,0.1646328866481781
150,0.1721817884180281,0.16421782970428467
151,0.17174570262432098,0.1638547033071518
152,0.17148412267367044,0.16348688304424286
153,0.17120032840304905,0.16313386708498
154,0.17082262535889944,0.16269557923078537
155,0.17046973605950674,0.16241143643856049
